NBA,2745,Brandon,Bass,Brandon Bass,BOS,Boston Celtics,4500,PF,30
NBA,4240,Avery,Bradley,Avery Bradley,BOS,Boston Celtics,4500,PG,0
NBA,6581,Jae,Crowder,Jae Crowder,BOS,Boston Celtics,4500,SF,99
NBA,2488650,Andre,Dawkins,Andre Dawkins,BOS,Boston Celtics,4500,SG,27
NBA,2489663,Kelly,Olynyk,Kelly Olynyk,BOS,Boston Celtics,4500,C,41
NBA,2530722,Phil,Pressey,Phil Pressey,BOS,Boston Celtics,4500,PG,26
NBA,1724,Tayshaun,Prince,Tayshaun Prince,BOS,Boston Celtics,4500,SF,12
NBA,2810,Shavlik,Randolph,Shavlik Randolph,BOS,Boston Celtics,4500,PF,42
NBA,2990992,Marcus,Smart,Marcus Smart,BOS,Boston Celtics,4500,PG,36
NBA,6624,Jared,Sullinger,Jared Sullinger,BOS,Boston Celtics,4500,PF,7
NBA,4017,Marcus,Thornton,Marcus Thornton,BOS,Boston Celtics,4500,SG,4
NBA,4239,Evan,Turner,Evan Turner,BOS,Boston Celtics,4500,SG,11
NBA,1026,Gerald,Wallace,Gerald Wallace,BOS,Boston Celtics,4500,SF,45
NBA,3064509,James,Young,James Young,BOS,Boston Celtics,4500,SG,13
NBA,6631,Tyler,Zeller,Tyler Zeller,BOS,Boston Celtics,4500,C,44
